pincode,area,city,lat,lng,population,avg_income,footfall,competitors,retail_index,avg_rent
560102,HSR Layout,Bangalore,12.9116,77.6387,350000,1450000,120000,42,78,65000
560034,Indiranagar,Bangalore,12.9719,77.6412,290000,1800000,150000,58,85,75000
560038,Whitefield,Bangalore,12.9698,77.7499,420000,1350000,140000,46,80,60000
560066,Marathahalli,Bangalore,12.9592,77.6974,380000,1250000,155000,52,82,58000
560008,Malleshwaram,Bangalore,13.0067,77.5667,260000,1550000,90000,28,76,62000
560001,MG Road,Bangalore,12.9758,77.6069,180000,2100000,200000,70,90,90000
560076,JP Nagar,Bangalore,12.9077,77.5856,310000,1400000,95000,34,74,55000
560095,Banashankari,Bangalore,12.925,77.5468,340000,1200000,85000,26,70,48000
560037,Bellandur,Bangalore,12.9304,77.6784,360000,1300000,145000,48,81,60000
560078,Jayanagar,Bangalore,12.925,77.5938,270000,1600000,92000,30,77,58000
560068,Bommanahalli,Bangalore,12.9081,77.6237,400000,1100000,105000,33,72,50000
560100,Electronic City,Bangalore,12.8452,77.6602,450000,1150000,130000,41,75,52000
560067,KR Puram,Bangalore,13.0076,77.6956,390000,1000000,98000,29,68,46000
560043,Kalyan Nagar,Bangalore,13.022,77.6403,300000,1500000,88000,27,74,56000
560016,Old Airport Road,Bangalore,12.9586,77.6612,240000,1750000,110000,36,79,68000
